question_num,type,utterance,page,targetValue,csv_file,Answer
2138,3,"eiffel 65 had a top 100 hit of the 1990s, ""blue (da ba dee)"", as well as one other 1990s top 100 hit single. what was that other hit single?",7,Move Your Body,203,"A2: The other hit single by Eiffel 65 was ""Move Your Body."""
2812,3,what were the total number of songs that peaked at number one according to this chart?,7,61,203,A3: There were 26 songs that peaked at number one according to this chart.
4423,3,"how many artists had sales above 900,000?",7,18,203,"A4: Two artists had sales above 900,000: Gala with ""Freed from Desire"" (1,013,000) and Los del Río with ""Macarena"" (910,000)."
5843,3,which single had the largest amount of sales in germany?,7,Mambo No. 5,203,A5: The question about Germany is not applicable as the data provided pertains to the French chart.
7075,3,which song on the list of top 100 of the 1990s is the only one from brazil?,7,"Tic, Tic Tac",203,"A6: The only song from Brazil on the list is ""Samba de Janeiro"" by Bellini."
7117,3,candle in the wind had how many more sales than freed from desire?,7,1016000,203,"A7: Sales data for ""Candle in the Wind"" is not provided, so comparison is not possible."
8711,1,"how many sales did the single ""tic tic tac"" have?",7,"980,000",203,"A8: Sales data for ""Tic, Tic Tac"" is not provided."
9085,2,how many more sales did elton john have than lou bega?,7,497000,203,"A9: Sales data for Lou Bega is not provided, making comparison with Elton John not possible."
11338,1,"what were the total sales of eiffel 65's ""blue (da ba dee)""?",7,"1,001,000",203,"A10: Sales of ""Blue (Da Ba Dee)"" by Eiffel 65 were 1,013,000."
11892,2,"elton john released the ""candle in the wind"", the #2 hit single of the 1990s, in 1997. what was an earlier top 100 hit single of elton john's in the 1990s?",7,Can You Feel The Love Tonight,203,"A11: No earlier top 100 hit single of Elton John from the 1990s is listed other than ""Candle in the Wind."""
13419,3,what is the difference in sales from the highest sales to the lowest sales?,7,1872000,203,"A12: The difference in sales from the highest (Gala's ""Freed from Desire"" with 1,013,000) to an unspecified lowest sales cannot be calculated as the lowest sales figure is not provided."
502,3,how many players scored a greater number of touchdowns than anthony hines?,8,3,203,A1: Two players scored more touchdowns than Anthony Hines (12 touchdowns): Charles Frederick (27 touchdowns) and Jerel Myers (21 touchdowns).
629,3,what is the difference in yards averaged between cecil moore and raymond philyaw?,8,15 yards,203,A2: The difference in yards averaged between Cecil Moore (4.5 yards per reception) and Raymond Philyaw (-6 yards per reception) is 10.5 yards.
950,3,which player has the most touch downs?,8,Charles Frederick,203,"A3: Charles Frederick has the most touchdowns, with 27."
989,1,which player received the most yards in 2007?,8,Charles Frederick,203,"A4: Charles Frederick received the most yards in 2007, with a total of 1385 yards."
4152,1,who is the only player to have a negative yard average?,8,Raymond Philyaw,203,"A5: Raymond Philyaw is the only player to have a negative yard average, with -6 yards per reception."
4514,1,which player did not have positive yardage?,8,Raymond Philyaw,203,"A6: Raymond Philyaw did not have positive yardage, with -6 total yards."
4957,3,which players did not score a touchdown?,8,Kevin Beard|Larrell Johnson|Jamarr Wood|Raymond Philyaw,203,"A7: The players who did not score a touchdown are Kevin Beard, Larrell Johnson, and Raymond Philyaw."
5069,3,who had the most touchdowns: jerel myers or cecil moore?,8,Jerel Myers,203,"A8: Jerel Myers had more touchdowns than Cecil Moore, with 21 compared to Moore's 2 touchdowns."
6460,3,which player got the most yards?,8,Charles Frederick,203,"A9: Charles Frederick got the most yards, totaling 1385."
8256,3,which player had the most receptions but no touchdowns?,8,Kevin Beard,203,A10: Kevin Beard had the most receptions without scoring any touchdowns (10 receptions).
8258,3,what is the difference between the highest average and the lowest avaerage?,8,20.2,203,A11: The difference between the highest average (Anthony Hines with 14.2 yards per catch) and the lowest average (Raymond Philyaw with -6 yards per catch) is 20.2 yards.
9380,1,what is the difference in touchdowns between raymond philyaw and jerel myers?,8,21,203,A12: The difference in touchdowns between Raymond Philyaw (0 touchdowns) and Jerel Myers (21 touchdowns) is 21 touchdowns.
10152,3,who was the next player besides charles frederick that received the most yards in 2007?,8,Jerel Myers,203,"A13: The next player besides Charles Frederick who received the most yards in 2007 is Jerel Myers, with 1183 yards."
11148,3,which player's average is higher than ira gooch's?,8,Anthony Hines,203,"A14: Only Anthony Hines has a higher average than Ira Gooch (14.1 yards per reception), with 14.2 yards per reception."
11517,2,how many touchdowns did anthony hines and boo williams have altogether?,8,29,203,A15: Anthony Hines and Boo Williams had a total of 29 touchdowns together (12 for Hines and 17 for Williams).
552,3,how many states have never used capital punishment?,9,3,203,Q1: Two states have never used capital punishment.
752,2,which state had their last execution on 5 february 2014?,9,Texas,203,Q2: Texas had their last execution on 5 February 2014.
5190,3,how long has it been since the first hanging occurred?,9,169 years,203,Q3: It has been 178 years since the first hanging occurred in 1845.
5589,3,how many states had their last execution take place in 1997?,9,3,203,Q4: Two states had their last execution take place in 1997.
8596,2,which state had an execution done by the method of lethal injection and occurred in december of 2005?,9,Maryland,203,Q5: Arkansas had an execution done by the method of lethal injection and occurred in December of 2005.
10251,3,arizona last put someone to death in october 2013 what state had the closest previous execution?,9,Alabama,203,"Q6: Georgia had the closest previous execution to Arizona in October 2013, with an execution in February 2013."
10619,3,which state had a more recent execution take place delaware or mississippi?,9,Mississippi,203,Q7: Delaware had a more recent execution than Mississippi.
11952,3,what is the total number of states that have never used capital punishment?,9,3,203,Q8: Two states have never used capital punishment.
12180,3,how many states have never executed anyone?,9,3,203,Q9: Two states have never executed anyone.
12768,2,alabama last put someone to death in 2013 what was its means of execution?,9,lethal injection,203,Q10: Alabama last put someone to death in 2013 using lethal injection.
13099,3,how many states have done executions in 2014?,9,5,203,Q11: Six states have done executions in 2014.
13478,3,alphabetically what is the largest consecutive amount of states that use lethal injection?,9,8,203,"Q12: The largest consecutive alphabetical group of states that use lethal injection includes Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, and Georgia."
256,3,what is the total number of wins for macau?,14,6,203,A1: There are no recorded wins for Macau in the provided matches.
1592,3,"how many consecutive events took place in bangkok, thailand starting 20 may, 2008?",14,6,203,A2: Three consecutive events took place in Bangkok Thailand starting on 20 May 2008 (against Nepal on 20 May Iraq on 25 May and Bahrain on 2 June).
3358,3,when was his last match?,14,5 March 2014,203,A3: His last match was on 5 March 2014 against Lebanon in the 2015 AFC Asian Cup qualification.
3545,3,how many winning scores were at least 3?,14,6,203,A4: There were six matches where the winning scores were at least 3 goals:   - 5–0 against the Philippines on 26 March 2006   - 6–1 against Macau on 8 October 2007   - 7–0 against Nepal on 20 May 2008   - 4–0 against Pakistan on 18 July 2009   - 4–1 against the Philippines on 26 March 2006   - 2–1 against Iraq on 25 May 2008 (though not a score of 3 or more it's a win to be considered).
4136,3,what was the date of the first international goal?,14,24 December 2005,203,A5: The first international goal is not specifically mentioned in the given data so it cannot be determined from the provided information.
4440,3,what competition was teeratep winothai in when he made his last international goal of 2008?,14,2008 AFF Suzuki Cup,203,A6: Teeratep Winothai's last international goal of 2008 was in the 2008 AFF Suzuki Cup.
9626,3,how many international goals did teeratep winothai make in 2009?,14,2,203,A7: Two goals were recorded in 2009:  - Against Pakistan on 18 July 2009 (4–0 win).
10473,1,who had more draws? south korea or north korea?,14,North Korea,203,A8: Both South Korea and North Korea had equal draws with one each against Thailand in the matches provided (North Korea 2–2 on 26 January 2013 South Korea 1–1 on another unspecified date).
12964,3,number of years with no victories,14,4,203,A9: There were no years with no victories among the years mentioned (2005-2014).
2556,3,which year saw the greatest final point total in the women's tournament finals?,15,2006,203,"A1: The greatest final point total in the women's tournament finals was in 2003, with a score of 4-3 (7 points total) when Western defeated McGill."
4023,3,which team won the most games in london after 2005?,15,Western,203,A2: Western won the most games in London after 2005. They won in 2009 against McGill 2-1 in the men's category.
7530,1,what was the only year a men's runner-up was from toronto?,15,2008,203,A3: There is no indication in the given information that Toronto was ever a men's runner-up in the years provided.
8539,1,what school was the top winner in the women's tournament in 2003?,15,Western,203,A4: Western University was the top winner in the women's tournament in 2003.
8750,3,"of mcgill, western, and toronto, who won the least final matches between 2003-13?",15,Toronto,203,A5: Toronto won the least final matches between 2003-13. They only won once in the women's category in 2013.
9899,3,"after western men's team win in 2007, who won the men's game next?",15,McGill,203,"A6: After Western's men's team win in 2007, McGill won the men's game next in 2008."
10252,3,how many total times was the location in montreal?,15,2,203,"A7: The location in Montreal was mentioned only once, in 2011."
11662,3,what is the greatest number of consecutive wins of the women's tournament between 2003 and 2013?,15,7,203,"A8: McGill had the greatest number of consecutive wins in the women's tournament, with three consecutive wins from 2008-2010."
12310,3,how many consecutive wins did western's men's team have?,15,2,203,A9: Western's men's team had two consecutive wins from 2003-2004.
12841,3,what is the number of times queen's was runner-up in men's?,15,3,203,"A10: Queen's was runner-up in the men's category only once during this period, which is indicated as Old FourIndex 2 without a specific year mentioned."
4289,3,"in 1906, how many total rolling stock vehicles were in service?",19,12,203,"A1: In 1906, there were 13 total rolling stock vehicles in service as listed."
4377,2,how long did it take number 71 to retire?,19,24,203,"A2: Number 71 was retired in 1929, and it was built in 1905. Therefore, it took 24 years to retire."
5949,1,did american car company or w.l. holman car company build cars that were 44' in length?,19,W. L. Holman Car Company,203,A3: W. L. Holman Car Company built cars that were 44' in length.
11678,3,what was the total number of cars listed?,19,13,203,A4: The total number of cars listed is 13.
12495,3,what was the number of cars built by american car company?,19,4,203,A5: The number of cars built by American Car Company is 4.
1037,3,is dean winstanley listed above or below kyle anderson?,20,Above,203,A1: Dean Winstanley is listed above Kyle Anderson.
1707,1,"other than kyle anderson, who else lost in 2014?",20,Terry Jenkins,203,A2: Terry Jenkins also lost in 2014.
1850,3,who was the last to win against his opponent?,20,Michael van Gerwen,203,A3: Michael van Gerwen was the last to win against his opponent.
3826,1,did terry jenkins or per laursen win in 2014?,20,Per Laursen,203,A4: Per Laursen won in 2014.
9691,2,who are the only players listed that played in 2011?,20,Adrian Lewis,203,A5: Adrian Lewis and Gary Anderson are the only players listed that played in 2011.
10943,1,name a year with more than one game listed.,20,2013,203,A6: The year 2013 has more than one game listed.
10959,3,who won the first world darts championship?,20,Raymond van Barneveld,203,A7: The information about the first World Darts Championship winner is not provided in the data above.
13142,3,how many champions were from norway?,20,0,203,A8: There are no champions from Norway listed in the data above.
652,3,who scored the most points?,22,Manuela Bravo,203,Q1: Manuela Bravo scored the most points with 149.
1053,3,who was the last draw?,22,Manuela Bravo,203,"Q2: Teresa Silva Carvalho was the last draw, performing 6th."
1884,2,"who sang ""eu só quero"" as their song in the eurovision song contest of 1979?",22,Gabriela Schaaf,203,"Q3: Gabriela Schaaf sang ""Eu só quero""."
5987,1,which artist came in last place?,22,Teresa Silva Carvalho,203,"Q4: Teresa Silva Carvalho came in last place, finishing 9th."
13449,1,what is the total amount of points for florencia?,22,63,203,Q5: Florência earned a total of 63 points.
243,3,what is the average score of all home team members for all dates?,24,1.75,203,Q1: The average score of all home team members for all dates is 1.75
553,2,on which date did the home team member not score?,24,4 March 2008,203,Q2: On 4 March 2008 the home team member Sanaye Arak did not score.
671,3,how many ties are listed total?,24,4,203,"Q3: There are a total of 5 ties listed:- Foolad vs Esteghlal Ahvaz (4-4)- Shahin Bushehr vs Saba Battery (2-2) - Rah Ahan vs Steel Azin (2-2)- Zob Ahan vs Esteghlal (1-1)- Moghavemat Sepasi vs Sepahan (1-1; however the home team lost)"""
1629,1,which team has the same score as rah ahan?,24,Steel Azin,203,Q4: Shahin Bushehr and Steel Azin both scored 2 goals the same as Rah Ahan.
2491,3,at most 8 were scored on what date,24,17 December 2007,203,Q5: At most 8 goals were scored on 17 December 2007 (Foolad vs Esteghlal Ahvaz ended 4-4).
5767,3,on what date did the home team score zero points against their opponent?,24,4 March 2008,203,Q6: On 4 March 2008 the home team Sanaye Arak scored zero points against their opponent Pegah Gilan.
9158,3,which team's score was better than sanaye arak?,24,Pegah Gilan,203,Q7: Pegah Gilan's score was better than Sanaye Arak's as they won 0-1.
9637,3,what is the total number of points earned by all away team members in december?,24,9,203,Q8: Total number of points earned by all away team members in December: - Paykan Tehran (0)- Saba Battery (2)- Persepolis (3)- Steel Azin (2)- Esteghlal (1) Sum = 0+2+3+2+1 = 8
11689,3,each of these teams both scored 4 goals,24,Foolad|Esteghlal Ahvaz,203,Q9: The two teams that both scored 4 goals are Foolad and Esteghlal Ahvaz in the match on 17 December 2007.
3181,1,has frits pirard won more or less than bert oosterbosch?,25,Less,203,"A1: Bert Oosterbosch won more stages than Frits Pirard. Oosterbosch won two stages (Stage 6 and Stage 8), while Pirard won only one stage (Stage 1)."
12748,3,what was the number of stages in the 1983 tour de france?,25,22,203,A2: The number of stages in the 1983 Tour de France was 23. 
13894,3,what was the total number of days for the tour?,25,23,203,"A3: The total number of days for the 1983 Tour de France was 23 days, with the event starting on July 1 and ending on July 24."
2790,3,what is the number of winners from kenya?,26,19,203,A1: The number of winners from Kenya is 22.
6606,1,name the male and female winners for 2013.,26,Yemane Tsegay (ETH)|Ruth Wanjiru (KEN),203,"A2: The male winner for 2013 was Yemane Tsegay from Ethiopia, and the female winner was Ruth Wanjiru from Kenya."
7397,3,how many times did philip singoei win?,26,2,203,A3: Philip Singoei won twice.
7451,3,who was the first recorded winner of the eindhoven marathon?,26,Fritz Schöning (FRG),203,A4: The first recorded winner of the Eindhoven Marathon was Lucien Rottiers (BEL) in 1982.
9865,3,who was the last european woman to win the eindhoven marathon?,26,Agnes Hijman (NED),203,A5: The last European woman to win the Eindhoven Marathon was Mieke Hombergen (NED) in 1991.
10570,3,what is the number of times the eindhoven marathon has been held since 1959,26,30,203,A6: The number of times the Eindhoven Marathon has been held since 1959 is 30.
11434,3,what was the number of times that mieke hombergen won?,26,3,203,A7: Mieke Hombergen won three times.
1035,2,"how long, in km, was the event in helsinki,finland?",28,20 km,203,"A1: The event in Helsinki, Finland was 20 km long."
2030,3,how many times did they place 1st after 2008?,28,1,203,A2: Eder Sánchez placed 1st twice after 2008: in 2009 and 2010.
3918,3,how many years consecutive featured the 20 km event?,28,7,203,A3: The 20 km event featured for 8 consecutive years from 2005 to 2011.
7063,1,what was the only year that a 5 km event took place?,28,2002,203,A4: The only year that a 5 km event took place was in 2002.
7131,3,how long was the shortest event?,28,5 km,203,A5: The shortest event was 5 km.
8568,1,where was the only 5km event held?,28,"Bridgetown, Barbados",203,"A6: The only 5 km event was held in Bridgetown, Barbados."
9897,3,how many times did they participate in the olympic games?,28,1,203,"A7: Eder Sánchez participated once in the Olympic Games, in 2008."
11563,3,what was the last year that they received first?,28,2010,203,A8: The last year Eder Sánchez received first place was 2010.
12401,1,"in 2004, 4th position was achieved. in this same year, what other position was also achieved?",28,1st,203,"A9: In 2004, Eder Sánchez also achieved 1st position in the 10 km event."
13497,3,how many times did they participate in the world championships?,28,4,203,"A10: Eder Sánchez participated in the World Championships 5 times: 2005, 2007, 2009, 2011, and an unspecified year mentioned in Index 3."
285,3,who was the next rider after tetsuya harada?,35,Jean-Philippe Ruggia,203,A1: Jean-Philippe Ruggia
998,1,who was the only rider to score 9 points?,35,Jean-Philippe Ruggia,203,A2: Jean-Philippe Ruggia
1800,3,how many riders were faster than massimo ottobre?,35,10,203,A3: 10 riders were faster than Massimo Ottobre.
2752,3,who was the last rider in the 250cc class?,35,Takeshi Tsujimura,203,A4: José Barresi
3158,3,what is the total number of japanese riders in the top 20?,35,3,203,A5: 1 Japanese rider (Tetsuya Harada) in the top 20.
4075,3,which rider scored more than 16 points but less than 25?,35,Marcellino Lucchi,203,A6: Marcellino Lucchi scored 20 points.
4179,3,what is the difference between marcellino lucchi's points and max biaggi's points?,35,5,203,A7: 5 points difference (25.0 - 20.0 = 5.0)
5966,3,how many riders in the top 15 were riding a honda?,35,9,203,"A8: 9 riders (Ralf Waldmann, Olivier Jacque, Jürgen Fuchs, Jean-Philippe Ruggia, Nobuatsu Aoki, Luis d'Antin, Cristiano Migliorati, Regis Laconi, Jurgen van den Goorbergh)"
6884,3,does olivier jacque have the same time as tetsuya harada?,35,No,203,"A9: No, Olivier Jacque's time was +18.607, Tetsuya Harada's time was +31.649."
7769,3,what is the number of italian riders that placed in the top 10?,35,3,203,"A10: 3 Italian riders (Max Biaggi, Marcellino Lucchi, Cristiano Migliorati)"
7867,1,what manufacturer is listed for max biaggi and marcellino lucchi?,35,Aprilia,203,A11: Aprilia
25,3,what's the number of parishes founded in the 1800s?,36,4,203,"Q1: 3 parishes (St Mary's in Bacup, Our Immaculate Mother & St Anselm in Whitworth, The Immaculate Conception in Haslingden)."
2147,3,how many parishes were founded before 1900?,36,4,203,"Q2: 4 parishes (St Mary's in Bacup, Our Immaculate Mother & St Anselm in Whitworth, The Immaculate Conception in Haslingden, St James the Less in Rawtenstall)."
2237,2,how many parishes had fr frank thorpe as their parish priest?,36,2,203,"Q3: 2 parishes (St Mary's in Bacup, Our Immaculate Mother & St Anselm in Whitworth)."
4973,1,name a parish that no parish priest is listed.,36,St Joseph,203,Q4: St Joseph in Stacksteads.
9387,1,"other than st mary, which parish was founded by fr frank thorpe?",36,Our Immaculate Mother & St Anselm,203,Q5: Our Immaculate Mother & St Anselm in Whitworth.
10905,1,which parish was founded after 1950?,36,St Veronica (Chapel of Ease),203,Q6: St Veronica (Chapel of Ease) in Helmshore.
11741,2,which parish is the only one to have closed?,36,St Joseph,203,Q7: St Joseph in Stacksteads.
13965,3,which parish was founded earlier between st. joseph and st james the less?,36,St James the Less,203,Q8: St James the Less in Rawtenstall (founded in 1828) was founded earlier than St Joseph in Stacksteads (founded in 1947).
770,2,which school was in the columbus neighborhood and was demolished?,40,School 73,203,Q1: School 73 was in the Columbus neighborhood and was demolished.
1597,3,how many schools were turned into private apartments?,40,3,203,Q2: Three schools were turned into private apartments:   - School 16   - School 22  - School 13
6126,3,how many schools are vacant?,40,16,203,Q3: The schools that are currently vacant are:   - School 8   - School 11  - School 18   - School 26   - School 39   - School 49   - School 75   - School 77  - School 2 (Harbor Heights Elementary School)
10769,3,what is the total number of schools that are now vacant?,40,16,203,Q4: Nine schools are currently vacant.
12354,1,which school is the first school to have been closed?,40,School 35,203,"Q5: School 14, which was closed in the 1930s, is the first school to have been closed."
12831,3,what is the total number of schools that were demolished?,40,24,203,Q6: A total of 21 schools were demolished:
4874,1,which route had plain stage terrain and was used on the 27th of june?,44,Freiburg - Besançon,203,"A1: The route used on the 27th of June with plain stage terrain was from Freiburg to Besançon, covering 200 km (120 mi)."
10036,3,how many different countries won at least one stage in the 1964 tour de france?,44,5,203,"A2: Five different countries won at least one stage in the 1964 Tour de France. These countries were Belgium, France, Netherlands, Spain, and Germany."
2367,3,"how many television channels in nambour, queensland are in hd?",51,4,203,"Q1: 5 television channels in Nambour, Queensland are in HD."
4625,3,what is the definition of the last channel?,51,SD,203,Q2: The definition of the last channel (Index 3 - ABC News 24) is high definition (HD).
4871,3,what number of organisations have private ownership?,51,10,203,Q3: 4 organizations have private ownership.
4923,3,how many private owned channels are there?,51,10,203,Q4: 8 channels are privately owned.
5703,3,how many channels are in hd?,51,4,203,Q5: 5 channels are in HD.
7964,2,"which organization has more television channels in nambour, queensland, nine network or australian broadcasting commission?",51,Australian Broadcasting Corporation,203,"Q6: The Australian Broadcasting Commission has more television channels (4 channels) in Nambour, Queensland than the Nine Network (3 channels)."
8024,3,how many channels are not an abc channel?,51,12,203,Q7: 11 channels are not ABC channels.
9226,3,what are the number of channels owned by the government?,51,6,203,Q8: 6 channels are owned by the government.
11344,3,whats is the number of channel's that broadcast in hd?,51,4,203,Q9: 5 channels broadcast in HD.
11479,3,"which television channels in nambour, queensland are owned by the same organization as abc1?",51,ABC2|ABC3|ABC News 24,203,"Q10: The television channels in Nambour, Queensland owned by the same organization as ABC1 are ABC2, ABC3, and ABC News 24."
2836,3,how many laps total were completed by all drivers?,52,1144,203,Q1: The total laps completed by all drivers is 886 laps (calculated by summing the laps completed by each driver).
3488,3,how many total laps were there in the 2008 canadian grand prix?,52,70,203,Q2: The total number of laps in the 2008 Canadian Grand Prix was 70 laps.
4298,3,who placed first in the 2008 canadian grand prix?,52,Robert Kubica,203,Q3: Robert Kubica placed first in the 2008 Canadian Grand Prix.
5613,3,what is the number of drivers that finished the 2008 canadian grand prix before jarno trulli?,52,5,203,Q4: Five drivers finished the 2008 Canadian Grand Prix before Jarno Trulli.
6798,3,who had the fastest lap time?,52,Robert Kubica,203,Q5: The information given does not include data about the fastest lap time.
7106,3,who finished after nico rosberg?,52,Jenson Button,203,Q6: Mark Webber finished after Nico Rosberg.
8077,3,adrian sutil had to retire before which driver?,52,Lewis Hamilton,203,Q7: Adrian Sutil had to retire before Kimi Räikkönen.
8576,1,who was the last driver listed to receive points?,52,Sebastian Vettel,203,Q8: Rubens Barrichello was the last driver listed to receive points.
8704,3,"of all the retired drivers, which of them completed the least amount of laps?",52,Adrian Sutil,203,"Q9: Adrian Sutil completed the least amount of laps among all retired drivers, with 13 laps."
10114,3,which country did most drivers represent?,52,Germany,203,Q10: The information provided does not specify the country of each driver.
13137,3,how long did robert kubica take to complete the race?,52,1:36:24.227,203,"Q11: Robert Kubica took 1 hour, 36 minutes, and 24.227 seconds to complete the race."
13520,3,how many drivers completed at least 45 laps?,52,15,203,Q12: 14 drivers completed at least 45 laps.
13854,3,how many cars spun off the track?,52,2,203,Q13: Two cars spun off the track (Fernando Alonso and Giancarlo Fisichella).
227,3,when was the last super chinese game released?,55,1999,203,A1: The last Super Chinese game released was Super Chinese Fighter EX in 1999.
1797,3,"of the titles released in north america, which had the least releases?",55,Super Chinese World,203,"A2: The titles released in North America, namely ""Kung-Fu Heroes"", ""Little Ninja Brothers"", ""Ninja Boy"", and ""Super Ninja Boy"", each had one release."
3966,3,what are the total of super chinese games released?,55,13,203,A3: There are a total of 13 Super Chinese games released.
5472,1,number of super chinese world games released,55,3,203,A4: There were 3 Super Chinese World games released.
7262,3,the first year a game was released in north america,55,1986,203,A5: The first year a Super Chinese game was released in North America was 1986 (Kung-Fu Heroes).
8739,3,how many action games were released in north america?,55,2,203,"A6: Two action games were released in North America: ""Kung-Fu Heroes"" and ""Ninja Boy""."
13316,3,which platforms had the most titles released?,55,GB,203,"A7: The Game Boy and Super Famicom/Super NES platforms had the most titles released, each hosting 4 titles."
